Model,label_fraction,n_train,Macro F1,Balanced Accuracy
ResNet50 (ImageNet),0.1,720,0.8188862082710395,0.8196296296296297
ResNet50 (ImageNet),0.25,1800,0.8268859621609729,0.8292592592592594
ResNet50 (ImageNet),0.5,3600,0.8333503154986888,0.8355555555555556
ResNet50 (ImageNet),1.0,7200,0.844337448270159,0.8451851851851852
Phikon-v2 (pathology FM),0.1,720,0.9335107744129139,0.9337037037037038
Phikon-v2 (pathology FM),0.25,1800,0.9317005192537702,0.9325925925925928
Phikon-v2 (pathology FM),0.5,3600,0.9364708879661521,0.9366666666666666
Phikon-v2 (pathology FM),1.0,7200,0.9378841164984189,0.9381481481481482
