,ADI,BACK,DEB,LYM,MUC,MUS,NORM,STR,TUM
ResNet50 (frozen),0.972972972972973,0.9983361064891847,0.9763513513513513,0.9691056910569106,0.9613445378151261,0.7379972565157751,0.9150779896013865,0.5787234042553191,0.9062003179650239
EfficientNet-B0 (frozen),0.994991652754591,0.7862796833773087,0.644880174291939,0.985172981878089,0.9337748344370861,0.7646219686162625,0.9143780290791599,0.5788336933045356,0.8813559322033898
MobileNetV3-L (frozen),0.9813874788494078,0.9739413680781759,0.8816029143897997,0.9801324503311258,0.9666666666666667,0.6943396226415094,0.933786078098472,0.5275229357798165,0.9067524115755627
ResNet50 (fine-tuned),0.9683860232945092,0.9983361064891847,0.988313856427379,0.9802631578947368,0.9543147208121827,0.7537414965986394,0.9301533219761499,0.5864332603938731,0.9146537842190016
Phikon-v2 (pathology FM),0.9915966386554622,0.9933774834437086,0.9727891156462585,0.9836065573770492,0.994991652754591,0.773286467486819,0.9950248756218906,0.75,0.9583333333333334
