Model,Accuracy,Balanced Accuracy,Macro F1,Weighted F1,Train time (s)
Phikon-v2 (pathology FM),0.9355555555555556,0.9355555555555556,0.9347784582576791,0.934778458257679,1129.3935942649841
ResNet50 (fine-tuned),0.9018518518518519,0.9018518518518519,0.8971773031228507,0.8971773031228507,218.64819765090942
ResNet50 (frozen),0.8944444444444445,0.8944444444444444,0.8906788475581168,0.8906788475581165,98.65456223487854
MobileNetV3-L (frozen),0.8759259259259259,0.8759259259259259,0.8717924362678374,0.8717924362678374,43.751362800598145
EfficientNet-B0 (frozen),0.8407407407407408,0.8407407407407407,0.8315876611047068,0.8315876611047067,52.82546377182007
